OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
64,96,2024-11-02 04:10:56,2024-11-02 04:21:56,872,Delivered
65,283,2024-10-20 17:35:56,2024-10-20 17:48:56,1164,Delivered
66,7,2024-11-01 08:49:56,2024-11-01 09:03:56,634,Delivered
67,53,2024-10-29 02:28:56,2024-10-29 02:38:56,813,Delivered
68,20,2024-10-29 22:29:56,2024-10-29 22:39:56,1468,Delivered
69,167,2024-10-13 21:54:56,2024-10-13 22:05:56,1272,Delivered
70,55,2024-10-10 15:15:56,2024-10-10 15:28:56,1046,Delivered
71,105,2024-10-16 10:00:56,2024-10-16 10:17:56,182,Delivered
72,107,2024-10-20 23:14:56,2024-10-20 23:31:56,176,Delivered
73,209,2024-10-02 06:25:56,2024-10-02 06:37:56,510,Delivered
74,261,2024-11-05 02:12:56,2024-11-05 02:23:56,360,Delivered
75,287,2024-11-04 03:13:56,2024-11-04 03:27:56,258,Delivered
76,104,2024-11-02 04:35:56,2024-11-02 04:48:56,642,Delivered
77,151,2024-10-29 21:08:56,2024-10-29 21:25:56,1208,Delivered
78,110,2024-11-10 12:10:56,2024-11-10 12:25:56,487,Delivered
79,135,2024-11-06 00:05:56,2024-11-06 00:19:56,694,Delivered
80,255,2024-11-19 22:37:56,2024-11-19 22:49:56,1002,Delivered
81,111,2024-10-10 03:55:56,,1041,Cancelled
82,50,2024-10-03 20:54:56,,281,Cancelled
83,110,2024-10-23 12:26:56,2024-10-23 12:39:56,724,Delivered
84,88,2024-10-15 12:56:56,2024-10-15 13:09:56,1350,Delivered
85,92,2024-10-14 23:32:56,2024-10-14 23:47:56,510,Delivered
86,150,2024-11-09 06:25:56,2024-11-09 06:39:56,646,Delivered
87,60,2024-10-23 02:08:56,,874,Cancelled
88,24,2024-09-28 12:25:56,2024-09-28 12:35:56,849,Delivered
89,205,2024-09-30 20:33:56,2024-09-30 20:50:56,785,Delivered
90,101,2024-11-14 09:56:56,2024-11-14 10:04:56,173,Delivered
91,244,2024-10-27 02:19:56,2024-10-27 02:34:56,485,Delivered
92,247,2024-11-05 11:58:56,2024-11-05 12:15:56,1118,Delivered
93,122,2024-11-16 04:26:56,2024-11-16 04:38:56,852,Delivered
94,240,2024-11-22 00:29:56,2024-11-22 00:37:56,746,Delivered
95,89,2024-11-06 01:41:56,2024-11-06 01:58:56,1481,Delivered
96,91,2024-10-08 23:20:56,2024-10-08 23:28:56,516,Delivered
97,226,2024-11-13 22:14:56,2024-11-13 22:31:56,1389,Delivered
98,245,2024-11-14 20:53:56,2024-11-14 21:02:56,1005,Delivered
99,181,2024-09-26 23:43:56,2024-09-26 23:51:56,1309,Delivered
100,73,2024-10-10 09:51:56,2024-10-10 10:06:56,475,Delivered
101,76,2024-10-15 14:03:56,2024-10-15 14:15:56,361,Delivered
102,36,2024-11-03 17:57:56,2024-11-03 18:07:56,1286,Delivered
103,54,2024-11-23 09:01:56,2024-11-23 09:16:56,1092,Delivered
104,80,2024-11-11 20:19:56,2024-11-11 20:30:56,1185,Delivered
105,102,2024-11-04 14:18:56,2024-11-04 14:34:56,1492,Delivered
106,189,2024-11-21 07:14:56,2024-11-21 07:31:56,936,Delivered
107,137,2024-11-01 02:27:56,2024-11-01 02:35:56,1364,Delivered
108,182,2024-10-20 03:14:56,2024-10-20 03:23:56,760,Delivered
109,163,2024-10-18 00:48:56,2024-10-18 01:03:56,643,Delivered
110,192,2024-11-19 06:50:56,2024-11-19 06:58:56,492,Delivered
111,178,2024-09-27 03:12:56,2024-09-27 03:21:56,1225,Delivered
112,56,2024-10-29 08:42:56,2024-10-29 08:50:56,632,Delivered
113,188,2024-11-05 19:15:56,2024-11-05 19:31:56,972,Delivered
114,60,2024-10-22 03:21:56,2024-10-22 03:33:56,1054,Delivered
115,136,2024-09-27 19:13:56,2024-09-27 19:27:56,128,Delivered
116,182,2024-11-13 08:38:56,2024-11-13 08:51:56,1414,Delivered
117,68,2024-10-27 00:06:56,2024-10-27 00:23:56,130,Delivered
118,103,2024-10-31 16:41:56,2024-10-31 16:55:56,561,Delivered
119,12,2024-11-09 14:46:56,2024-11-09 14:57:56,1008,Delivered
120,1,2024-10-08 00:49:56,2024-10-08 01:01:56,1228,Delivered
121,247,2024-09-30 19:32:56,2024-09-30 19:46:56,1204,Delivered
122,131,2024-11-16 06:45:56,2024-11-16 07:00:56,745,Delivered
123,183,2024-10-15 18:45:56,2024-10-15 18:54:56,1396,Delivered
124,48,2024-10-06 18:38:56,2024-10-06 18:53:56,1460,Delivered
125,107,2024-10-01 00:14:56,2024-10-01 00:24:56,355,Delivered
126,77,2024-11-15 07:05:56,2024-11-15 07:22:56,276,Delivered
127,253,2024-09-30 20:45:56,2024-09-30 21:01:56,655,Delivered
128,55,2024-11-18 21:55:56,2024-11-18 22:03:56,948,Delivered
129,188,2024-10-31 20:06:56,2024-10-31 20:17:56,1406,Delivered
130,100,2024-11-03 09:59:56,2024-11-03 10:12:56,347,Delivered
131,16,2024-10-14 22:16:56,2024-10-14 22:26:56,103,Delivered
132,48,2024-11-09 14:04:56,2024-11-09 14:15:56,892,Delivered
133,263,2024-10-30 05:35:56,2024-10-30 05:48:56,216,Delivered
134,73,2024-11-16 01:04:56,2024-11-16 01:17:56,593,Delivered
135,128,2024-11-18 22:36:56,2024-11-18 22:45:56,1311,Delivered
136,275,2024-11-09 10:29:56,2024-11-09 10:46:56,1097,Delivered
137,96,2024-09-27 00:14:56,2024-09-27 00:22:56,479,Delivered
138,183,2024-11-04 16:21:56,2024-11-04 16:35:56,424,Delivered
139,109,2024-10-15 21:18:56,2024-10-15 21:30:56,1039,Delivered
140,84,2024-10-07 06:51:56,2024-10-07 07:02:56,1408,Delivered
141,52,2024-09-30 00:31:56,2024-09-30 00:44:56,1117,Delivered
142,260,2024-10-17 06:24:56,2024-10-17 06:33:56,111,Delivered
143,232,2024-11-01 18:12:56,2024-11-01 18:22:56,1136,Delivered
144,109,2024-11-06 22:34:56,2024-11-06 22:42:56,1273,Delivered
145,52,2024-10-16 08:02:56,2024-10-16 08:16:56,958,Delivered
146,202,2024-10-26 01:46:56,2024-10-26 01:57:56,916,Delivered
147,63,2024-10-26 06:31:56,2024-10-26 06:39:56,678,Delivered
148,257,2024-11-07 07:46:56,2024-11-07 08:03:56,140,Delivered
149,68,2024-10-31 05:15:56,2024-10-31 05:23:56,1113,Delivered
150,204,2024-10-23 14:28:56,2024-10-23 14:38:56,943,Delivered
151,279,2024-10-15 01:53:56,2024-10-15 02:09:56,431,Delivered
152,77,2024-11-08 03:02:56,2024-11-08 03:13:56,180,Delivered
153,237,2024-11-22 21:19:56,2024-11-22 21:30:56,1285,Delivered
154,116,2024-11-17 05:59:56,2024-11-17 06:12:56,568,Delivered
155,113,2024-11-07 10:11:56,2024-11-07 10:21:56,626,Delivered
156,197,2024-10-21 03:02:56,2024-10-21 03:16:56,1085,Delivered
157,2,2024-10-28 06:36:56,2024-10-28 06:45:56,322,Delivered
158,87,2024-11-12 13:44:56,2024-11-12 13:53:56,1304,Delivered
159,94,2024-09-28 13:07:56,2024-09-28 13:23:56,1293,Delivered
160,39,2024-10-17 10:37:56,2024-10-17 10:45:56,593,Delivered
161,112,2024-09-27 02:17:56,2024-09-27 02:32:56,1372,Delivered
162,284,2024-11-10 01:32:56,2024-11-10 01:47:56,1163,Delivered
163,245,2024-10-18 16:50:56,2024-10-18 17:04:56,1032,Delivered
164,91,2024-11-17 14:09:56,2024-11-17 14:21:56,588,Delivered
165,176,2024-10-16 19:16:56,2024-10-16 19:28:56,751,Delivered
166,54,2024-10-24 00:19:56,2024-10-24 00:32:56,471,Delivered
167,231,2024-10-01 10:39:56,2024-10-01 10:55:56,1475,Delivered
168,89,2024-10-05 07:33:56,2024-10-05 07:49:56,459,Delivered
169,29,2024-11-20 05:54:56,2024-11-20 06:07:56,977,Delivered
170,253,2024-10-25 23:22:56,2024-10-25 23:37:56,509,Delivered
171,220,2024-10-28 16:23:56,2024-10-28 16:34:56,1462,Delivered
172,294,2024-11-02 02:07:56,2024-11-02 02:24:56,1042,Delivered
173,161,2024-11-12 15:02:56,2024-11-12 15:18:56,1082,Delivered
174,86,2024-11-11 11:46:56,2024-11-11 12:00:56,1439,Delivered
175,178,2024-10-12 04:40:56,2024-10-12 04:57:56,1051,Delivered
176,86,2024-11-21 12:33:56,2024-11-21 12:46:56,715,Delivered
177,286,2024-11-03 05:40:56,2024-11-03 05:56:56,1176,Delivered
178,14,2024-10-12 01:52:56,2024-10-12 02:07:56,346,Delivered
179,153,2024-10-15 01:23:56,2024-10-15 01:32:56,1102,Delivered
180,66,2024-11-04 13:16:56,2024-11-04 13:32:56,1311,Delivered
181,290,2024-09-28 19:37:56,2024-09-28 19:50:56,580,Delivered
182,149,2024-10-05 01:34:56,2024-10-05 01:46:56,1434,Delivered
183,284,2024-10-20 16:59:56,2024-10-20 17:12:56,694,Delivered
184,120,2024-10-26 03:40:56,2024-10-26 03:56:56,1214,Delivered
185,109,2024-11-08 16:48:56,2024-11-08 17:04:56,1333,Delivered
186,72,2024-10-10 01:08:56,2024-10-10 01:24:56,873,Delivered
187,115,2024-11-13 05:51:56,2024-11-13 06:01:56,795,Delivered
188,212,2024-10-02 22:34:56,2024-10-02 22:47:56,680,Delivered
189,32,2024-09-28 14:38:56,2024-09-28 14:48:56,1413,Delivered
190,164,2024-11-04 15:08:56,2024-11-04 15:25:56,1259,Delivered
191,34,2024-10-11 10:24:56,2024-10-11 10:37:56,202,Delivered
192,32,2024-11-03 02:14:56,2024-11-03 02:26:56,638,Delivered
193,10,2024-11-13 03:32:56,2024-11-13 03:43:56,326,Delivered
194,268,2024-10-03 13:13:56,2024-10-03 13:25:56,587,Delivered
195,256,2024-11-12 00:21:56,2024-11-12 00:37:56,636,Delivered
196,270,2024-10-25 18:02:56,2024-10-25 18:10:56,612,Delivered
197,219,2024-10-05 20:31:56,2024-10-05 20:42:56,987,Delivered
198,227,2024-11-01 12:53:56,,1482,Cancelled
199,67,2024-10-19 11:33:56,2024-10-19 11:46:56,537,Delivered
200,92,2024-11-07 04:04:56,2024-11-07 04:16:56,691,Delivered
201,73,2024-10-28 15:05:56,2024-10-28 15:16:56,363,Delivered
202,39,2024-10-17 01:22:56,2024-10-17 01:30:56,648,Delivered
203,199,2024-11-10 02:14:56,2024-11-10 02:27:56,921,Delivered
204,110,2024-11-10 16:56:56,2024-11-10 17:10:56,1233,Delivered
205,205,2024-10-19 02:54:56,2024-10-19 03:07:56,1392,Delivered
206,242,2024-09-29 23:10:56,2024-09-29 23:22:56,199,Delivered
207,158,2024-10-25 09:19:56,2024-10-25 09:28:56,381,Delivered
208,243,2024-11-06 09:11:56,2024-11-06 09:26:56,445,Delivered
209,51,2024-09-29 14:44:56,,1268,Cancelled
210,117,2024-10-26 02:34:56,2024-10-26 02:48:56,371,Delivered
211,129,2024-10-12 15:35:56,,166,Cancelled
212,165,2024-10-03 19:49:56,2024-10-03 20:00:56,400,Delivered
213,143,2024-10-22 00:46:56,2024-10-22 01:02:56,400,Delivered
214,169,2024-11-20 11:02:56,2024-11-20 11:14:56,1485,Delivered
215,192,2024-10-19 17:39:56,2024-10-19 17:51:56,304,Delivered
216,137,2024-10-28 04:35:56,2024-10-28 04:50:56,153,Delivered
217,255,2024-10-08 16:42:56,,1365,Cancelled
218,156,2024-11-14 21:10:56,2024-11-14 21:22:56,1237,Delivered
219,230,2024-11-04 07:23:56,2024-11-04 07:34:56,330,Delivered
220,269,2024-10-28 01:55:56,,331,Cancelled
221,200,2024-11-19 11:29:56,2024-11-19 11:37:56,515,Delivered
222,28,2024-11-14 03:50:56,2024-11-14 03:59:56,1016,Delivered
223,34,2024-11-19 12:25:56,2024-11-19 12:42:56,716,Delivered
224,32,2024-10-03 15:56:56,2024-10-03 16:12:56,1216,Delivered
225,299,2024-10-27 21:02:56,,874,Cancelled
226,105,2024-11-05 16:51:56,2024-11-05 17:04:56,421,Delivered
227,102,2024-10-15 02:13:56,2024-10-15 02:28:56,474,Delivered
228,114,2024-11-23 08:30:56,2024-11-23 08:43:56,867,Delivered
229,164,2024-11-16 15:34:56,2024-11-16 15:50:56,156,Delivered
230,223,2024-11-18 04:03:56,2024-11-18 04:18:56,1158,Delivered
231,22,2024-10-18 14:38:56,2024-10-18 14:47:56,1402,Delivered
232,152,2024-10-03 17:15:56,2024-10-03 17:31:56,1318,Delivered
233,78,2024-11-10 11:25:56,2024-11-10 11:35:56,1256,Delivered
234,52,2024-10-29 23:28:56,2024-10-29 23:40:56,1002,Delivered
235,199,2024-10-07 08:03:56,2024-10-07 08:13:56,224,Delivered
236,180,2024-10-12 18:52:56,2024-10-12 19:09:56,523,Delivered
237,10,2024-11-12 17:38:56,2024-11-12 17:52:56,1067,Delivered
238,77,2024-11-21 23:38:56,2024-11-21 23:49:56,314,Delivered
239,204,2024-09-28 02:54:56,2024-09-28 03:03:56,1231,Delivered
240,75,2024-11-13 12:02:56,2024-11-13 12:15:56,1150,Delivered
241,165,2024-11-09 07:06:56,2024-11-09 07:19:56,816,Delivered
242,243,2024-11-23 07:24:56,2024-11-23 07:39:56,354,Delivered
243,246,2024-11-17 00:22:56,2024-11-17 00:33:56,509,Delivered
244,292,2024-10-31 08:45:56,2024-10-31 09:00:56,541,Delivered
245,165,2024-11-11 01:52:56,2024-11-11 02:01:56,806,Delivered
246,208,2024-10-25 03:14:56,2024-10-25 03:22:56,850,Delivered
247,96,2024-11-15 11:26:56,2024-11-15 11:40:56,812,Delivered
248,203,2024-11-05 06:41:56,2024-11-05 06:54:56,1160,Delivered
249,133,2024-10-29 19:19:56,2024-10-29 19:36:56,461,Delivered
250,28,2024-11-08 01:04:56,2024-11-08 01:12:56,1419,Delivered
251,278,2024-09-26 14:01:56,2024-09-26 14:13:56,611,Delivered
252,225,2024-10-31 18:27:56,2024-10-31 18:41:56,1256,Delivered
253,139,2024-11-07 20:32:56,2024-11-07 20:47:56,356,Delivered
254,45,2024-11-21 08:33:56,2024-11-21 08:43:56,669,Delivered
255,271,2024-10-15 18:50:56,2024-10-15 19:07:56,1326,Delivered
256,241,2024-10-19 21:01:56,2024-10-19 21:18:56,1389,Delivered
257,90,2024-10-21 14:24:56,2024-10-21 14:36:56,729,Delivered
258,250,2024-10-07 11:32:56,2024-10-07 11:42:56,363,Delivered
259,69,2024-11-13 02:56:56,2024-11-13 03:07:56,461,Delivered
260,293,2024-11-23 20:05:56,2024-11-23 20:19:56,1156,Delivered
261,197,2024-09-27 03:11:56,2024-09-27 03:26:56,170,Delivered
262,127,2024-10-15 18:16:56,2024-10-15 18:33:56,178,Delivered
263,260,2024-11-22 13:22:56,2024-11-22 13:36:56,1298,Delivered
264,136,2024-10-07 06:40:56,2024-10-07 06:48:56,1437,Delivered
265,49,2024-11-08 00:03:56,2024-11-08 00:20:56,812,Delivered
266,172,2024-11-04 09:37:56,2024-11-04 09:48:56,1434,Delivered
267,54,2024-10-12 14:53:56,2024-10-12 15:07:56,952,Delivered
268,262,2024-11-12 00:35:56,2024-11-12 00:44:56,663,Delivered
269,173,2024-10-19 00:36:56,2024-10-19 00:49:56,851,Delivered
270,246,2024-10-04 09:32:56,2024-10-04 09:47:56,1149,Delivered
271,46,2024-10-30 03:13:56,2024-10-30 03:21:56,271,Delivered
272,237,2024-11-20 09:06:56,2024-11-20 09:17:56,279,Delivered
273,31,2024-10-13 04:50:56,2024-10-13 04:58:56,140,Delivered
274,65,2024-10-18 14:33:56,2024-10-18 14:41:56,1288,Delivered
275,6,2024-11-09 18:15:56,,1398,Cancelled
276,222,2024-10-07 08:04:56,2024-10-07 08:21:56,1041,Delivered
277,142,2024-10-09 15:55:56,2024-10-09 16:06:56,428,Delivered
278,160,2024-09-29 09:11:56,2024-09-29 09:25:56,551,Delivered
279,168,2024-10-23 23:56:56,,1346,Cancelled
280,224,2024-10-17 06:04:56,2024-10-17 06:21:56,862,Delivered
281,229,2024-10-08 13:07:56,2024-10-08 13:24:56,873,Delivered
282,132,2024-10-21 11:04:56,2024-10-21 11:16:56,580,Delivered
283,270,2024-09-29 15:41:56,2024-09-29 15:54:56,905,Delivered
284,158,2024-10-27 15:26:56,2024-10-27 15:42:56,467,Delivered
285,138,2024-10-06 23:08:56,2024-10-06 23:21:56,831,Delivered
286,226,2024-10-11 14:39:56,2024-10-11 14:51:56,846,Delivered
287,207,2024-10-23 14:19:56,2024-10-23 14:34:56,1289,Delivered
288,64,2024-11-01 10:00:56,2024-11-01 10:09:56,845,Delivered
289,179,2024-11-23 10:30:56,2024-11-23 10:47:56,789,Delivered
290,36,2024-10-17 14:15:56,2024-10-17 14:29:56,718,Delivered
291,163,2024-11-14 10:01:56,2024-11-14 10:11:56,1267,Delivered
292,280,2024-11-13 13:42:56,2024-11-13 13:55:56,1460,Delivered
293,263,2024-11-02 23:23:56,2024-11-02 23:35:56,1038,Delivered
294,181,2024-10-06 12:42:56,2024-10-06 12:52:56,1022,Delivered
295,95,2024-11-08 12:19:56,2024-11-08 12:28:56,753,Delivered
296,241,2024-11-09 04:59:56,2024-11-09 05:15:56,638,Delivered
297,172,2024-09-28 14:32:56,2024-09-28 14:45:56,746,Delivered
298,273,2024-11-20 19:54:56,2024-11-20 20:06:56,307,Delivered
299,18,2024-10-06 11:34:56,2024-10-06 11:51:56,716,Delivered
300,107,2024-10-28 20:44:56,2024-10-28 21:00:56,1047,Delivered
301,264,2024-10-12 21:13:56,2024-10-12 21:30:56,603,Delivered
302,253,2024-10-19 16:35:56,2024-10-19 16:45:56,181,Delivered
303,213,2024-10-31 06:42:56,2024-10-31 06:59:56,345,Delivered
304,270,2024-11-23 21:33:56,2024-11-23 21:49:56,911,Delivered
305,176,2024-11-20 12:10:56,2024-11-20 12:21:56,719,Delivered
306,250,2024-09-29 04:16:56,2024-09-29 04:28:56,924,Delivered
307,189,2024-11-14 00:47:56,2024-11-14 01:04:56,787,Delivered
308,188,2024-11-05 02:40:56,2024-11-05 02:56:56,881,Delivered
309,162,2024-10-17 18:47:56,2024-10-17 19:01:56,592,Delivered
310,264,2024-11-12 07:09:56,2024-11-12 07:17:56,767,Delivered
311,16,2024-11-23 03:59:56,2024-11-23 04:07:56,1185,Delivered
312,258,2024-11-09 10:55:56,2024-11-09 11:10:56,720,Delivered
313,149,2024-11-07 20:21:56,,1264,Cancelled
314,39,2024-10-15 09:41:56,2024-10-15 09:49:56,631,Delivered
315,5,2024-11-16 07:19:56,2024-11-16 07:36:56,1271,Delivered
316,268,2024-10-13 10:33:56,2024-10-13 10:50:56,665,Delivered
317,201,2024-11-17 11:36:56,2024-11-17 11:47:56,625,Delivered
318,109,2024-10-03 20:23:56,2024-10-03 20:33:56,385,Delivered
319,146,2024-10-04 14:08:56,,198,Cancelled
320,213,2024-11-02 09:43:56,2024-11-02 10:00:56,1388,Delivered
321,163,2024-11-03 06:04:56,2024-11-03 06:19:56,300,Delivered
322,149,2024-11-21 15:43:56,2024-11-21 15:59:56,1119,Delivered
323,289,2024-11-08 04:32:56,2024-11-08 04:47:56,558,Delivered
324,271,2024-11-19 13:40:56,2024-11-19 13:56:56,944,Delivered
325,252,2024-10-03 00:26:56,2024-10-03 00:36:56,882,Delivered
326,186,2024-10-07 08:22:56,2024-10-07 08:34:56,1236,Delivered
327,256,2024-11-22 00:50:56,2024-11-22 01:04:56,421,Delivered
328,207,2024-11-20 01:29:56,2024-11-20 01:42:56,158,Delivered
329,82,2024-11-16 20:19:56,2024-11-16 20:30:56,1171,Delivered
330,209,2024-11-01 19:37:56,2024-11-01 19:45:56,1376,Delivered
331,204,2024-11-16 14:29:56,2024-11-16 14:39:56,1175,Delivered
332,281,2024-10-30 18:48:56,2024-10-30 19:02:56,231,Delivered
333,156,2024-11-20 15:05:56,2024-11-20 15:19:56,571,Delivered
334,85,2024-11-13 12:14:56,2024-11-13 12:22:56,305,Delivered
335,31,2024-11-17 13:38:56,2024-11-17 13:48:56,506,Delivered
336,85,2024-11-08 15:30:56,2024-11-08 15:42:56,979,Delivered
337,94,2024-10-01 06:48:56,2024-10-01 07:02:56,1462,Delivered
338,162,2024-11-08 17:40:56,2024-11-08 17:50:56,541,Delivered
339,199,2024-10-29 03:41:56,2024-10-29 03:49:56,1212,Delivered
340,100,2024-11-11 11:32:56,2024-11-11 11:44:56,997,Delivered
341,286,2024-11-10 06:09:56,2024-11-10 06:22:56,1154,Delivered
342,99,2024-10-03 08:30:56,2024-10-03 08:41:56,162,Delivered
343,36,2024-10-27 22:57:56,2024-10-27 23:14:56,1382,Delivered
344,51,2024-09-28 01:13:56,2024-09-28 01:23:56,115,Delivered
345,286,2024-09-28 00:42:56,2024-09-28 00:58:56,1224,Delivered
346,42,2024-11-06 08:40:56,2024-11-06 08:51:56,1272,Delivered
347,75,2024-10-07 18:42:56,2024-10-07 18:52:56,828,Delivered
348,146,2024-10-14 10:40:56,2024-10-14 10:53:56,279,Delivered
349,263,2024-10-08 18:40:56,2024-10-08 18:56:56,1305,Delivered
350,162,2024-10-17 14:50:56,2024-10-17 15:05:56,213,Delivered
351,231,2024-10-18 07:39:56,2024-10-18 07:56:56,977,Delivered
352,95,2024-11-14 16:11:56,2024-11-14 16:23:56,455,Delivered
353,298,2024-10-10 22:27:56,2024-10-10 22:40:56,1119,Delivered
354,190,2024-11-11 23:54:56,2024-11-12 00:02:56,867,Delivered
355,86,2024-11-07 13:04:56,2024-11-07 13:13:56,849,Delivered
356,5,2024-10-10 19:37:56,2024-10-10 19:47:56,446,Delivered
357,235,2024-10-10 07:10:56,2024-10-10 07:22:56,105,Delivered
358,224,2024-11-01 01:34:56,2024-11-01 01:51:56,113,Delivered
359,93,2024-11-17 05:35:56,2024-11-17 05:44:56,617,Delivered
360,271,2024-10-03 07:39:56,2024-10-03 07:50:56,1456,Delivered
361,239,2024-10-08 09:59:56,2024-10-08 10:07:56,1001,Delivered
362,293,2024-09-28 21:37:56,2024-09-28 21:45:56,473,Delivered
363,94,2024-10-23 13:03:56,2024-10-23 13:12:56,647,Delivered
364,189,2024-11-18 06:51:56,2024-11-18 07:04:56,453,Delivered
365,169,2024-10-12 20:00:56,2024-10-12 20:11:56,1338,Delivered
366,128,2024-09-27 00:43:56,2024-09-27 00:57:56,995,Delivered
367,262,2024-10-06 10:11:56,2024-10-06 10:28:56,734,Delivered
368,216,2024-10-07 19:44:56,2024-10-07 19:57:56,666,Delivered
369,272,2024-11-04 23:24:56,2024-11-04 23:36:56,1478,Delivered
370,18,2024-10-28 02:04:56,2024-10-28 02:17:56,1138,Delivered
371,15,2024-11-07 01:38:56,2024-11-07 01:50:56,733,Delivered
372,246,2024-10-25 17:47:56,2024-10-25 17:56:56,525,Delivered
373,229,2024-10-24 09:30:56,2024-10-24 09:45:56,1496,Delivered
374,273,2024-09-29 18:28:56,2024-09-29 18:38:56,565,Delivered
375,177,2024-10-15 19:21:56,2024-10-15 19:33:56,430,Delivered
376,9,2024-10-07 02:36:56,2024-10-07 02:52:56,1216,Delivered
