OrderDetailsID,OrderID,ProductName,Quantity,PricePerUnit
98,2842,Tata Tea Gold,4,70
99,312,Dettol Liquid,4,60
100,193,Colgate Toothpaste,2,12
101,400,Nestle Milk,3,120
102,3722,Tata Tea Gold,1,150
103,2258,Maggi Noodles,4,70
104,2298,Fortune Oil,2,180
105,565,Dettol Liquid,3,99
106,3183,Harpic Toilet Cleaner,5,50
107,1759,Parle-G Biscuits,4,99
108,946,Amul Butter,2,120
109,3111,Britannia Rusk,4,60
110,1727,Dove Soap,5,120
111,2586,Good Day Cookies,2,20
112,1042,Bournvita,2,12
113,1839,Tata Tea Gold,1,35
114,414,Harpic Toilet Cleaner,4,50
115,15,Tata Salt,1,50
116,3273,Clinic Plus Shampoo,2,45
117,2928,Nestle Milk,2,12
118,3071,Harpic Toilet Cleaner,4,20
119,1379,Ariel Detergent,2,200
120,732,Tata Salt,4,12
121,3858,Godrej Hair Dye,1,50
122,1107,Red Label Tea,3,40
123,2172,Dove Soap,5,10
124,1994,Fortune Oil,3,180
125,3755,Harpic Toilet Cleaner,5,10
126,2327,Tata Tea Gold,4,150
127,1602,Bournvita,4,45
128,3322,Good Day Cookies,1,35
129,73,Harpic Toilet Cleaner,4,10
130,789,Amul Butter,3,45
131,1599,Tata Salt,1,35
132,1781,Ariel Detergent,1,12
133,653,Dettol Liquid,4,70
134,1303,Dettol Liquid,1,200
135,3016,Red Label Tea,2,10
136,980,Bournvita,1,12
137,2059,Tata Tea Gold,2,130
138,352,Amul Butter,2,120
139,1838,Parle-G Biscuits,5,50
140,1108,Colgate Toothpaste,4,45
141,949,Tata Salt,3,50
142,3254,Nestle Milk,2,50
143,3465,Harpic Toilet Cleaner,4,45
144,1627,Fortune Oil,2,35
145,1145,Himalaya Face Wash,3,300
146,3456,Dettol Liquid,2,180
147,1599,Colgate Toothpaste,5,70
148,694,Dettol Liquid,4,80
149,2341,Tata Salt,5,50
150,3127,Fortune Oil,4,40
151,1068,Fortune Oil,1,120
152,2323,Colgate Toothpaste,4,200
153,3833,Red Label Tea,3,20
154,858,Bournvita,4,70
155,584,Clinic Plus Shampoo,2,20
156,1847,Parle-G Biscuits,3,80
157,1722,Tata Salt,1,40
158,3262,Ariel Detergent,4,200
159,1344,Parle-G Biscuits,5,10
160,3406,Parle-G Biscuits,1,180
161,521,Parle-G Biscuits,3,80
162,3540,Britannia Rusk,4,200
163,373,Nestle Milk,2,150
164,1017,Colgate Toothpaste,5,300
165,3417,Fortune Oil,3,150
166,2303,Tata Salt,3,40
167,3128,Bournvita,4,200
168,3617,Dove Soap,3,20
169,2152,Aashirvaad Atta,3,12
170,3626,Dettol Liquid,5,10
171,1442,Godrej Hair Dye,2,70
172,1120,Red Label Tea,2,60
173,2303,Good Day Cookies,2,60
174,1420,Colgate Toothpaste,3,200
175,3614,Good Day Cookies,5,130
176,3379,Aashirvaad Atta,3,20
177,2702,Maggi Noodles,5,70
178,3248,Amul Butter,2,200
179,699,Nestle Milk,1,20
180,161,Bournvita,1,20
181,2194,Tata Tea Gold,3,12
182,1480,Amul Butter,2,130
183,76,Britannia Rusk,4,80
184,193,Nestle Milk,1,80
185,594,Harpic Toilet Cleaner,3,70
186,3043,Parle-G Biscuits,4,99
187,3273,Tata Tea Gold,1,10
188,642,Amul Butter,4,45
189,740,Maggi Noodles,3,130
190,3143,Clinic Plus Shampoo,2,180
191,2526,Ariel Detergent,1,20
192,727,Fortune Oil,4,50
193,2072,Godrej Hair Dye,1,40
194,3885,Nestle Milk,3,50
195,489,Fortune Oil,4,45
196,3769,Red Label Tea,1,200
197,3387,Ariel Detergent,5,80
198,1920,Godrej Hair Dye,5,50
199,3809,Fortune Oil,1,130
200,3904,Himalaya Face Wash,4,45
201,2496,Dettol Liquid,3,50
202,3375,Nestle Milk,4,10
203,3907,Red Label Tea,5,35
204,1903,Tata Tea Gold,3,40
205,572,Good Day Cookies,5,45
206,2772,Nestle Milk,2,200
207,1259,Good Day Cookies,5,60
208,598,Godrej Hair Dye,2,80
209,3885,Good Day Cookies,3,60
210,32,Himalaya Face Wash,2,120
211,1268,Godrej Hair Dye,2,150
212,3035,Parle-G Biscuits,2,130
213,2185,Parle-G Biscuits,1,45
214,3373,Tata Tea Gold,3,130
215,34,Britannia Rusk,2,12
216,1181,Parle-G Biscuits,4,50
217,3334,Good Day Cookies,2,80
218,378,Ariel Detergent,5,120
219,3511,Tata Tea Gold,3,45
220,665,Godrej Hair Dye,2,50
221,1847,Godrej Hair Dye,3,130
222,2138,Maggi Noodles,4,40
223,3423,Dettol Liquid,5,20
224,14,Nestle Milk,5,70
225,966,Good Day Cookies,4,60
226,2872,Red Label Tea,3,300
227,351,Maggi Noodles,4,12
228,3521,Amul Butter,1,45
229,593,Amul Butter,5,45
230,3384,Tata Tea Gold,5,40
231,1206,Tata Salt,2,40
232,1521,Godrej Hair Dye,1,99
233,3129,Tata Tea Gold,4,45
234,2107,Dettol Liquid,4,12
235,85,Maggi Noodles,2,45
236,2603,Nestle Milk,4,180
237,841,Tata Salt,3,130
238,3749,Bournvita,1,12
239,2436,Aashirvaad Atta,1,180
240,1449,Clinic Plus Shampoo,4,200
241,3687,Clinic Plus Shampoo,4,45
242,3504,Maggi Noodles,5,200
243,1129,Nestle Milk,3,150
244,966,Bournvita,5,20
245,2236,Good Day Cookies,2,99
246,2493,Good Day Cookies,1,70
247,887,Britannia Rusk,4,80
248,629,Colgate Toothpaste,2,20
249,2861,Nestle Milk,5,35
250,3223,Dettol Liquid,2,12
251,3514,Bournvita,5,35
252,3958,Red Label Tea,4,150
253,3099,Red Label Tea,2,20
254,1302,Tata Tea Gold,1,150
255,1449,Aashirvaad Atta,3,150
256,882,Harpic Toilet Cleaner,2,80
257,1260,Dove Soap,4,200
258,2021,Bournvita,1,45
259,2600,Ariel Detergent,2,60
260,1631,Tata Tea Gold,2,45
261,1750,Good Day Cookies,4,130
262,2339,Ariel Detergent,3,200
263,1251,Parle-G Biscuits,5,150
264,1976,Harpic Toilet Cleaner,4,12
265,694,Maggi Noodles,5,45
266,2373,Dettol Liquid,3,40
267,2867,Harpic Toilet Cleaner,5,70
268,2576,Fortune Oil,3,300
269,855,Himalaya Face Wash,2,130
270,2429,Nestle Milk,1,130
271,2520,Good Day Cookies,5,12
272,549,Maggi Noodles,3,45
273,73,Harpic Toilet Cleaner,2,50
274,2301,Nestle Milk,4,45
275,1853,Tata Salt,3,120
276,2479,Himalaya Face Wash,1,10
277,2070,Amul Butter,3,45
278,2650,Clinic Plus Shampoo,2,130
279,767,Colgate Toothpaste,3,10
280,2574,Parle-G Biscuits,5,50
281,394,Fortune Oil,4,50
282,2992,Good Day Cookies,2,45
283,3025,Maggi Noodles,3,60
284,3208,Dove Soap,3,150
285,2252,Harpic Toilet Cleaner,5,150
286,3239,Parle-G Biscuits,1,150
287,2087,Harpic Toilet Cleaner,1,180
288,2279,Tata Salt,5,60
289,3929,Amul Butter,4,70
290,1565,Tata Salt,2,80
291,3423,Himalaya Face Wash,3,180
292,14,Fortune Oil,3,300
293,827,Tata Salt,5,300
294,3666,Tata Tea Gold,1,10
295,3735,Aashirvaad Atta,5,120
296,32,Parle-G Biscuits,3,120
297,2775,Ariel Detergent,3,45
298,2521,Dove Soap,3,70
299,2861,Godrej Hair Dye,4,45
300,1376,Godrej Hair Dye,1,50
301,3064,Fortune Oil,5,80
302,893,Harpic Toilet Cleaner,2,45
303,860,Good Day Cookies,1,45
304,939,Parle-G Biscuits,3,12
305,3270,Parle-G Biscuits,2,130
306,3352,Red Label Tea,5,35
307,1293,Maggi Noodles,3,50
308,3489,Dove Soap,5,50
309,103,Godrej Hair Dye,3,10
310,1521,Parle-G Biscuits,3,35
311,1865,Red Label Tea,2,45
312,3385,Maggi Noodles,3,120
313,2307,Red Label Tea,5,50
314,273,Ariel Detergent,2,200
315,1932,Harpic Toilet Cleaner,2,10
316,2449,Ariel Detergent,1,45
317,1837,Tata Tea Gold,1,180
318,3741,Parle-G Biscuits,5,20
319,1462,Clinic Plus Shampoo,1,45
320,1871,Red Label Tea,1,35
321,833,Himalaya Face Wash,5,50
322,2003,Clinic Plus Shampoo,2,10
323,3366,Aashirvaad Atta,4,60
324,2116,Colgate Toothpaste,5,50
325,1806,Tata Salt,4,45
326,2315,Good Day Cookies,3,60
327,3672,Parle-G Biscuits,2,300
328,373,Dettol Liquid,4,300
329,2714,Colgate Toothpaste,2,150
330,442,Amul Butter,1,10
331,2851,Britannia Rusk,1,99
332,848,Bournvita,1,180
333,2351,Bournvita,5,120
334,2270,Dettol Liquid,4,50
335,2241,Britannia Rusk,2,200
336,2553,Himalaya Face Wash,2,70
337,3440,Tata Salt,2,50
338,3663,Harpic Toilet Cleaner,4,180
339,3292,Dove Soap,2,120
340,90,Good Day Cookies,5,300
341,58,Amul Butter,3,70
342,3806,Clinic Plus Shampoo,1,120
343,3768,Good Day Cookies,3,180
344,2827,Good Day Cookies,4,99
345,274,Red Label Tea,3,45
346,1908,Bournvita,3,45
347,3506,Aashirvaad Atta,3,50
348,2040,Parle-G Biscuits,5,60
349,532,Maggi Noodles,1,80
350,3364,Britannia Rusk,1,10
351,219,Colgate Toothpaste,4,200
352,1205,Dove Soap,2,50
353,1751,Bournvita,1,60
354,3212,Good Day Cookies,2,70
355,601,Amul Butter,1,50
356,1934,Harpic Toilet Cleaner,2,120
357,3290,Bournvita,2,60
358,3566,Tata Tea Gold,2,50
359,1853,Dove Soap,1,120
360,3459,Himalaya Face Wash,4,40
361,3066,Dove Soap,5,50
362,1380,Bournvita,2,80
363,1805,Britannia Rusk,3,35
364,2165,Dettol Liquid,2,40
365,2674,Ariel Detergent,3,99
366,1612,Aashirvaad Atta,5,200
367,2312,Dove Soap,2,45
368,2738,Himalaya Face Wash,1,50
369,2466,Bournvita,2,20
370,1347,Bournvita,3,50
371,2187,Dove Soap,3,120
372,448,Maggi Noodles,1,35
373,2084,Parle-G Biscuits,4,45
374,1303,Tata Tea Gold,1,50
375,221,Dettol Liquid,3,200
376,2984,Good Day Cookies,5,120
377,1831,Harpic Toilet Cleaner,3,35
378,814,Good Day Cookies,2,45
379,562,Tata Tea Gold,1,70
380,2393,Colgate Toothpaste,4,60
381,2895,Ariel Detergent,2,12
382,3371,Maggi Noodles,1,70
383,404,Tata Tea Gold,5,40
384,2158,Clinic Plus Shampoo,4,99
385,433,Bournvita,3,20
386,294,Colgate Toothpaste,1,99
387,2334,Ariel Detergent,1,50
388,1352,Maggi Noodles,4,50
389,3504,Good Day Cookies,4,10
390,494,Ariel Detergent,4,60
391,3702,Good Day Cookies,4,150
392,1502,Parle-G Biscuits,4,70
393,436,Tata Tea Gold,1,10
394,2396,Harpic Toilet Cleaner,5,180
395,1443,Tata Tea Gold,4,120
396,981,Good Day Cookies,1,10
397,515,Bournvita,3,10
398,3255,Harpic Toilet Cleaner,2,70
399,2218,Dove Soap,2,12
400,2653,Amul Butter,5,60
401,3516,Maggi Noodles,4,130
402,361,Nestle Milk,5,120
403,1092,Tata Salt,3,130
404,43,Dettol Liquid,3,99
405,1146,Harpic Toilet Cleaner,5,10
406,3925,Parle-G Biscuits,4,60
407,667,Aashirvaad Atta,4,180
408,3651,Aashirvaad Atta,1,130
409,3479,Red Label Tea,2,10
410,2915,Godrej Hair Dye,4,50
411,2793,Britannia Rusk,5,130
412,615,Good Day Cookies,4,120
413,3654,Colgate Toothpaste,5,180
414,1902,Dove Soap,5,300
415,3232,Britannia Rusk,2,80
416,527,Parle-G Biscuits,2,120
417,3183,Colgate Toothpaste,5,45
418,2387,Parle-G Biscuits,1,10
419,948,Red Label Tea,1,12
420,2848,Britannia Rusk,2,80
421,3284,Clinic Plus Shampoo,5,10
422,299,Parle-G Biscuits,5,70
423,333,Ariel Detergent,5,99
424,3995,Parle-G Biscuits,3,150
425,2695,Red Label Tea,5,50
426,1242,Britannia Rusk,5,35
427,742,Ariel Detergent,3,130
428,396,Red Label Tea,2,150
429,1152,Fortune Oil,4,70
430,2155,Ariel Detergent,3,99
431,3337,Maggi Noodles,3,12
432,1473,Nestle Milk,3,120
433,199,Bournvita,3,45
434,1510,Godrej Hair Dye,5,50
435,368,Dettol Liquid,3,120
436,2895,Bournvita,3,50
437,358,Good Day Cookies,1,45
438,416,Dove Soap,3,99
439,290,Nestle Milk,1,35
440,3244,Dettol Liquid,1,120
441,2629,Himalaya Face Wash,3,200
442,2802,Ariel Detergent,2,70
443,1436,Dettol Liquid,1,150
444,659,Britannia Rusk,2,45
445,3217,Red Label Tea,4,300
446,119,Fortune Oil,3,180
447,646,Bournvita,3,150
448,1856,Red Label Tea,2,50
449,2980,Dove Soap,3,180
450,1067,Bournvita,4,50
451,349,Amul Butter,3,120
452,1394,Tata Tea Gold,4,60
453,3452,Amul Butter,4,120
454,2700,Tata Salt,3,180
455,382,Amul Butter,4,200
456,2119,Maggi Noodles,3,130
457,2987,Dove Soap,4,130
458,1634,Tata Salt,3,35
459,2521,Fortune Oil,4,120
460,2670,Amul Butter,5,45
461,2668,Tata Salt,2,300
462,1435,Dettol Liquid,5,99
463,1448,Bournvita,2,70
464,2968,Harpic Toilet Cleaner,2,120
465,41,Amul Butter,3,200
466,2921,Ariel Detergent,3,80
467,39,Red Label Tea,5,50
468,2311,Red Label Tea,4,45
469,3092,Maggi Noodles,4,50
470,95,Aashirvaad Atta,2,120
471,1456,Bournvita,1,60
472,3114,Good Day Cookies,5,45
473,2301,Dettol Liquid,2,35
474,3679,Amul Butter,1,300
475,1901,Colgate Toothpaste,1,10
476,1778,Godrej Hair Dye,4,99
477,3838,Dove Soap,1,120
478,3271,Parle-G Biscuits,2,20
479,213,Fortune Oil,5,20
480,2475,Godrej Hair Dye,4,50
481,666,Clinic Plus Shampoo,4,300
482,3869,Parle-G Biscuits,1,80
483,124,Dettol Liquid,3,40
484,2415,Tata Salt,4,35
485,1339,Aashirvaad Atta,2,45
486,3586,Dove Soap,1,45
487,2182,Tata Salt,5,99
488,1029,Dove Soap,2,200
489,1952,Himalaya Face Wash,1,60
490,455,Godrej Hair Dye,3,45
491,3819,Good Day Cookies,1,80
492,2120,Himalaya Face Wash,2,200
493,344,Parle-G Biscuits,2,120
494,288,Aashirvaad Atta,3,45
495,1451,Ariel Detergent,5,40
496,22,Ariel Detergent,4,12
497,2326,Harpic Toilet Cleaner,5,10
498,990,Parle-G Biscuits,3,40
499,3696,Clinic Plus Shampoo,5,200
500,2674,Britannia Rusk,2,12
501,2025,Maggi Noodles,2,120
502,1143,Britannia Rusk,2,200
503,2371,Parle-G Biscuits,5,200
504,2083,Clinic Plus Shampoo,1,99
505,1052,Clinic Plus Shampoo,3,10
506,3691,Harpic Toilet Cleaner,5,50
507,210,Maggi Noodles,5,99
508,1948,Maggi Noodles,3,180
509,3853,Bournvita,1,45
510,1046,Colgate Toothpaste,3,120
511,3777,Fortune Oil,3,20
512,2541,Dettol Liquid,5,60
513,2537,Tata Salt,4,60
514,3430,Nestle Milk,1,50
515,3006,Good Day Cookies,1,60
516,898,Godrej Hair Dye,2,40
517,3281,Britannia Rusk,1,200
518,1194,Nestle Milk,4,50
519,1237,Britannia Rusk,2,99
520,1840,Tata Salt,1,99
521,2284,Bournvita,3,180
522,476,Clinic Plus Shampoo,2,40
523,3251,Himalaya Face Wash,3,20
524,758,Parle-G Biscuits,1,99
525,534,Good Day Cookies,2,40
526,814,Britannia Rusk,3,35
527,95,Parle-G Biscuits,4,45
528,2175,Aashirvaad Atta,5,120
529,2174,Dove Soap,1,180
530,1692,Parle-G Biscuits,5,180
531,3887,Himalaya Face Wash,4,130
532,3683,Good Day Cookies,1,120
533,2031,Parle-G Biscuits,2,12
534,2230,Aashirvaad Atta,5,80
535,1537,Ariel Detergent,4,80
536,539,Himalaya Face Wash,1,99
537,2150,Dove Soap,4,300
538,3944,Parle-G Biscuits,1,80
539,2656,Nestle Milk,4,150
540,1194,Tata Salt,3,45
541,3073,Godrej Hair Dye,2,99
542,870,Red Label Tea,3,50
543,2183,Parle-G Biscuits,3,20
544,2108,Himalaya Face Wash,2,130
545,3192,Dove Soap,1,60
546,2098,Tata Tea Gold,2,180
547,1969,Tata Salt,4,130
548,1825,Tata Tea Gold,5,60
549,2906,Himalaya Face Wash,5,150
550,3416,Nestle Milk,4,99
551,2470,Amul Butter,1,300
552,3709,Dove Soap,3,300
553,1715,Parle-G Biscuits,4,12
554,958,Tata Tea Gold,1,60
555,1796,Tata Salt,3,120
556,899,Godrej Hair Dye,5,12
557,1312,Godrej Hair Dye,5,60
558,3333,Clinic Plus Shampoo,1,200
559,88,Tata Salt,4,10
560,1463,Clinic Plus Shampoo,3,50
561,184,Tata Salt,3,50
562,3500,Nestle Milk,3,130
563,293,Harpic Toilet Cleaner,1,130
564,695,Britannia Rusk,1,99
565,1522,Tata Tea Gold,5,20
566,1784,Maggi Noodles,2,45
567,1316,Ariel Detergent,1,50
568,1464,Dettol Liquid,3,99
569,116,Red Label Tea,3,120
570,278,Colgate Toothpaste,3,40
571,217,Fortune Oil,2,70
572,3318,Maggi Noodles,2,120
573,1424,Parle-G Biscuits,3,80
574,1326,Tata Tea Gold,1,120
575,617,Dove Soap,4,99
576,2556,Nestle Milk,2,20
577,1870,Red Label Tea,1,120
578,1962,Good Day Cookies,3,70
579,2225,Ariel Detergent,5,180
580,2907,Harpic Toilet Cleaner,3,300
581,1304,Maggi Noodles,5,300
582,347,Himalaya Face Wash,1,60
583,942,Amul Butter,3,10
584,2118,Maggi Noodles,5,200
585,3041,Godrej Hair Dye,5,10
586,1333,Fortune Oil,3,130
587,1440,Godrej Hair Dye,5,45
588,892,Red Label Tea,2,200
589,3822,Dettol Liquid,5,99
590,152,Amul Butter,5,120
591,1933,Dettol Liquid,4,40
592,1428,Colgate Toothpaste,4,120
593,4,Dove Soap,1,60
594,1907,Clinic Plus Shampoo,5,200
595,2309,Maggi Noodles,2,70
596,2959,Himalaya Face Wash,1,120
597,2660,Amul Butter,3,200
598,2173,Bournvita,2,45
599,3901,Godrej Hair Dye,2,45
600,2654,Good Day Cookies,1,45
601,2497,Tata Tea Gold,5,45
602,2781,Himalaya Face Wash,2,60
603,1694,Himalaya Face Wash,4,99
604,2882,Amul Butter,3,200
605,3189,Parle-G Biscuits,5,20
606,253,Harpic Toilet Cleaner,2,50
607,3732,Godrej Hair Dye,4,50
608,2329,Good Day Cookies,1,130
609,980,Himalaya Face Wash,1,50
610,572,Dove Soap,5,99
611,1211,Harpic Toilet Cleaner,3,180
612,2856,Nestle Milk,1,45
613,245,Tata Salt,5,80
614,1079,Himalaya Face Wash,1,45
615,3565,Himalaya Face Wash,5,180
616,1282,Nestle Milk,4,70
617,1869,Dettol Liquid,3,300
618,547,Godrej Hair Dye,1,200
619,715,Tata Tea Gold,2,40
620,2163,Good Day Cookies,2,20
621,2141,Fortune Oil,1,200
622,2418,Red Label Tea,4,80
623,3384,Amul Butter,4,180
624,98,Maggi Noodles,5,45
625,552,Parle-G Biscuits,1,50
626,161,Bournvita,5,20
627,570,Aashirvaad Atta,5,60
628,1427,Good Day Cookies,1,120
629,3876,Dove Soap,2,120
630,107,Godrej Hair Dye,1,60
631,1506,Colgate Toothpaste,3,12
632,1614,Dettol Liquid,3,150
633,3662,Ariel Detergent,5,80
634,1244,Clinic Plus Shampoo,2,99
635,2813,Harpic Toilet Cleaner,1,130
636,2967,Himalaya Face Wash,4,35
637,689,Good Day Cookies,4,120
638,235,Fortune Oil,2,50
639,2198,Harpic Toilet Cleaner,4,120
640,3991,Amul Butter,2,20
641,31,Colgate Toothpaste,3,120
642,1875,Dove Soap,2,300
643,49,Nestle Milk,5,20
644,1251,Maggi Noodles,3,35
645,345,Red Label Tea,3,40
646,200,Himalaya Face Wash,4,120
647,3513,Godrej Hair Dye,2,80
648,595,Tata Salt,2,20
649,2139,Godrej Hair Dye,2,45
650,3107,Ariel Detergent,4,45
651,596,Parle-G Biscuits,5,20
652,3952,Good Day Cookies,2,130
653,2219,Tata Salt,2,99
654,1792,Godrej Hair Dye,5,45
655,1191,Good Day Cookies,1,80
656,3414,Colgate Toothpaste,1,99
657,2725,Good Day Cookies,4,120
658,3402,Tata Tea Gold,3,80
659,2476,Dettol Liquid,3,45
660,2962,Dove Soap,1,50
661,2896,Harpic Toilet Cleaner,1,70
662,2165,Colgate Toothpaste,1,50
663,2328,Dove Soap,3,120
664,2771,Nestle Milk,5,80
665,303,Nestle Milk,4,60
666,2140,Godrej Hair Dye,3,150
667,3061,Tata Tea Gold,1,99
668,1713,Britannia Rusk,5,10
669,2319,Himalaya Face Wash,4,20
670,3311,Britannia Rusk,5,50
671,1778,Red Label Tea,4,120
672,2995,Himalaya Face Wash,5,120
673,1717,Aashirvaad Atta,4,200
674,2526,Amul Butter,5,45
675,503,Maggi Noodles,4,130
676,1786,Ariel Detergent,1,200
677,3275,Aashirvaad Atta,3,45
678,2939,Harpic Toilet Cleaner,4,45
679,264,Parle-G Biscuits,2,120
680,2703,Harpic Toilet Cleaner,3,50
681,1867,Aashirvaad Atta,2,99
682,212,Clinic Plus Shampoo,5,10
683,2567,Dove Soap,1,60
684,2834,Harpic Toilet Cleaner,1,10
685,2786,Red Label Tea,3,50
686,2061,Harpic Toilet Cleaner,4,12
687,891,Fortune Oil,3,12
688,3580,Harpic Toilet Cleaner,4,45
689,1676,Colgate Toothpaste,1,70
690,239,Amul Butter,1,120
691,710,Ariel Detergent,3,45
692,622,Tata Salt,2,180
693,1851,Godrej Hair Dye,5,50
694,390,Aashirvaad Atta,4,12
695,239,Tata Tea Gold,1,80
696,901,Amul Butter,5,35
697,696,Parle-G Biscuits,5,12
698,2243,Fortune Oil,2,150
699,937,Dettol Liquid,2,180
700,1031,Nestle Milk,2,120
701,1694,Amul Butter,4,50
702,3370,Harpic Toilet Cleaner,1,20
703,3068,Fortune Oil,4,45
704,3989,Good Day Cookies,3,180
705,2967,Himalaya Face Wash,2,200
706,617,Tata Tea Gold,3,45
707,3850,Dove Soap,2,50
708,69,Colgate Toothpaste,2,10
709,3548,Dettol Liquid,3,99
710,212,Parle-G Biscuits,3,10
711,428,Dettol Liquid,2,70
712,1242,Dettol Liquid,4,50
713,2644,Tata Tea Gold,4,300
714,1372,Godrej Hair Dye,5,35
715,131,Aashirvaad Atta,3,50
716,306,Britannia Rusk,1,45
717,3994,Dettol Liquid,5,120
718,693,Amul Butter,1,200
719,200,Colgate Toothpaste,4,40
720,981,Godrej Hair Dye,3,130
721,1618,Amul Butter,5,45
722,154,Clinic Plus Shampoo,3,12
723,1174,Britannia Rusk,1,50
724,1333,Bournvita,5,130
725,1931,Dove Soap,4,45
726,810,Good Day Cookies,3,45
727,1696,Good Day Cookies,2,150
728,590,Dettol Liquid,4,70
729,1355,Amul Butter,1,10
730,616,Britannia Rusk,3,150
731,1547,Britannia Rusk,2,300
732,3601,Himalaya Face Wash,2,70
733,2310,Red Label Tea,3,99
734,267,Parle-G Biscuits,4,50
735,2415,Good Day Cookies,1,200
736,2428,Clinic Plus Shampoo,3,35
737,2261,Dove Soap,2,12
738,3339,Colgate Toothpaste,2,180
739,2852,Fortune Oil,1,50
740,3033,Britannia Rusk,4,45
741,20,Fortune Oil,2,10
742,1344,Parle-G Biscuits,2,70
743,2460,Fortune Oil,3,130
744,3451,Amul Butter,3,130
745,1976,Aashirvaad Atta,5,35
746,1008,Dove Soap,3,50
747,2610,Amul Butter,3,45
748,3197,Tata Salt,5,120
749,3137,Parle-G Biscuits,3,50
750,136,Colgate Toothpaste,3,50
751,855,Parle-G Biscuits,4,60
752,3342,Bournvita,4,300
753,1717,Tata Tea Gold,4,20
754,1915,Amul Butter,5,12
755,1070,Britannia Rusk,5,300
756,1912,Nestle Milk,2,10
757,3202,Britannia Rusk,1,10
758,2983,Godrej Hair Dye,1,130
759,3825,Tata Salt,2,10
760,3303,Tata Tea Gold,4,120
761,3237,Amul Butter,3,12
762,1751,Britannia Rusk,1,80
763,758,Amul Butter,4,45
764,483,Fortune Oil,2,120
765,1424,Maggi Noodles,2,12
766,127,Godrej Hair Dye,3,50
767,2777,Red Label Tea,5,45
768,3803,Godrej Hair Dye,4,130
769,3195,Red Label Tea,3,120
770,830,Godrej Hair Dye,4,45
771,1257,Amul Butter,2,70
